Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,9.4,0.06981181389083828,12304.669921875,0.26611004759933776,5.284603596650427,1.0
philschmid/bart-large-cnn-samsum,10.7,0.07036812730309454,13002.5205078125,0.21788815305371598,0.19180790122653033,5.0
sshleifer/distilbart-cnn-12-6,11.3,0.09327905956515992,11112.0712890625,0.3328153854345018,2.3065642091637377,2.0
Falconsai/text_summarization,11.0,0.09432257476676346,11765.8466796875,0.3017226970048258,0.4044474691479686,4.0
pszemraj/led-large-book-summary,9.2,0.12127716540148394,19592.8359375,0.27966383281010104,0.7558972832101378,3.0
