Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,12.0,0.02977042677314579,11134.4541015625,0.26197534307642983,3.7186215254902737,2.0
philschmid/bart-large-cnn-samsum,15.8,0.04403753367503115,15310.2548828125,0.33117897942104685,0.6350915068404317,3.0
sshleifer/distilbart-cnn-12-6,11.5,0.019522195026658532,9469.70703125,0.20666203369475009,14.231806445568086,1.0
Falconsai/text_summarization,15.5,0.06305874218633725,8212.0830078125,0.3153592691584291,0.6227790903835039,4.0
pszemraj/led-large-book-summary,14.9,0.03088994378625234,13283.056640625,0.43248789900575624,0.5262258509733664,5.0
