Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,14.7,0.06925465442458442,37434.171875,0.26944814321645216,2.032120365938527,2.0
philschmid/bart-large-cnn-samsum,14.8,0.13855619784060422,38319.01171875,0.3750937092568448,0.9132953970761147,3.0
sshleifer/distilbart-cnn-12-6,16.7,0.09069277991428286,23078.87109375,0.26792335221227526,2.1446897586677656,1.0
Falconsai/text_summarization,12.7,0.03484719430270675,16946.228515625,0.22572747263101156,0.0,5.0
pszemraj/led-large-book-summary,13.7,0.11641586860788487,32286.43359375,0.36954422291792544,0.7484776503834479,4.0
