Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,9.4,0.21032887199789024,15707.7734375,0.4340988227977694,1.932461719786657,2.0
philschmid/bart-large-cnn-samsum,6.0,0.06885415983634874,16701.37890625,0.24312627886355098,0.02400007879900437,5.0
sshleifer/distilbart-cnn-12-6,11.4,0.11140961419948371,22557.51953125,0.31639439283698645,2.5550868205775568,1.0
Falconsai/text_summarization,11.2,0.09649922539733131,18958.54296875,0.3033682294037323,0.31860188144814006,4.0
pszemraj/led-large-book-summary,10.9,0.19386794955005576,42370.84765625,0.44149966349856296,0.926509194246219,3.0
