Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,9.0,0.0652964821057425,12173.349609375,0.2618446273537039,3.9970946345082954,1.0
philschmid/bart-large-cnn-samsum,11.3,0.06437099900513331,21114.15234375,0.263166520979021,0.6545938353576692,3.0
sshleifer/distilbart-cnn-12-6,9.6,0.07737888054308303,13646.134765625,0.2922338665195809,2.176552737950806,2.0
Falconsai/text_summarization,12.1,0.05461143423124502,11653.216796875,0.25872433859538274,0.28911178163742274,5.0
pszemraj/led-large-book-summary,10.4,0.05057996194696891,20311.828125,0.33969251852257587,0.5746316801208811,4.0
