Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,13.5,0.0942614406551475,24756.283203125,0.3062812606874145,1.6307709324765394,2.0
philschmid/bart-large-cnn-samsum,12.9,0.03136434447077181,31273.72265625,0.24130190796857465,0.33346741995422796,4.0
sshleifer/distilbart-cnn-12-6,12.9,0.026995185444557937,18903.5859375,0.24096999337714606,9.01367456951458,1.0
Falconsai/text_summarization,16.5,0.030538983747250142,14245.5986328125,0.2618137522054743,0.16575809507622086,5.0
pszemraj/led-large-book-summary,12.6,0.10410074484722315,30928.390625,0.4996165413533834,0.8454149912998894,3.0
