Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,17.3,0.023974945193900473,20527.810546875,0.19767441860465113,4.11830928670784,1.0
philschmid/bart-large-cnn-samsum,13.7,0.07662730947432213,20549.767578125,0.3832314710740986,0.5685685155267013,4.0
sshleifer/distilbart-cnn-12-6,13.8,0.05238860972638453,13376.88671875,0.302658519595039,3.374331627574605,2.0
Falconsai/text_summarization,15.2,0.022087822067242288,12511.0810546875,0.19039994855967077,0.09236023773791346,5.0
pszemraj/led-large-book-summary,12.5,0.1229032062657268,25324.517578125,0.4834023004845728,0.8464006176224762,3.0
