Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,14.4,0.021774265140809705,22325.546875,0.20382519950890118,3.772747967644367,1.0
philschmid/bart-large-cnn-samsum,13.0,0.026419834552772883,20903.66015625,0.2696771900253122,0.32712562979621146,4.0
sshleifer/distilbart-cnn-12-6,14.4,0.034617207706738984,17337.80859375,0.2678326128021569,2.454871080765091,2.0
Falconsai/text_summarization,12.7,0.023531154886689106,15211.75390625,0.24501424501424507,0.13596192026321435,5.0
pszemraj/led-large-book-summary,12.7,0.04865758895250591,28584.724609375,0.32425934354799124,0.8996261417017474,3.0
