Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,12.4,0.031695006592955946,36376.61328125,0.31268166089965393,2.9297333635396012,1.0
philschmid/bart-large-cnn-samsum,8.2,0.02755978282713214,31249.57421875,0.2346018645881094,0.19790065978144322,4.0
sshleifer/distilbart-cnn-12-6,15.2,0.0850260152093469,84650.5390625,0.3454172366621067,0.9999000099990001,2.0
Falconsai/text_summarization,9.8,0.02702783372472527,12472.9345703125,0.20639147802929428,0.06587841865648206,5.0
pszemraj/led-large-book-summary,9.8,0.07936906021297208,29696.521484375,0.29835304805927604,0.4479989046450356,3.0
