Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,12.6,0.01478000166994461,42990.95703125,0.16630730336173108,2.8630604821683407,2.0
philschmid/bart-large-cnn-samsum,14.2,0.10738915358239857,31632.802734375,0.19145554853623167,0.5403560563861626,4.0
sshleifer/distilbart-cnn-12-6,15.5,0.02092543562597301,25514.865234375,0.18766989105735948,4.764732993196418,1.0
Falconsai/text_summarization,14.2,0.02431643012490487,12248.7763671875,0.22773062414266118,0.1307874629564374,5.0
pszemraj/led-large-book-summary,14.3,0.15778844808166098,30558.037109375,0.3902463864624544,0.8252463241843019,3.0
