Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,11.9,0.07611104591237003,56907.77734375,0.25011146464544104,2.8033812191634433,2.0
philschmid/bart-large-cnn-samsum,14.8,0.08238092895616764,54602.5546875,0.2506782803884252,0.38761570214384794,4.0
sshleifer/distilbart-cnn-12-6,14.8,0.08092221165164672,45919.79296875,0.22851131040309539,3.3046918242522243,1.0
Falconsai/text_summarization,13.4,0.0567607137180647,40387.53515625,0.3018291950543917,0.21842222873466802,5.0
pszemraj/led-large-book-summary,11.8,0.15466928822590376,32974.98046875,0.40578215704246867,0.6801233408162062,3.0
