Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,6.6,0.11269604265283335,21150.630859375,0.2787014937380997,2.380291532324357,1.0
philschmid/bart-large-cnn-samsum,11.2,0.029865881754605215,18743.978515625,0.27395070190754195,0.2661590081532773,4.0
sshleifer/distilbart-cnn-12-6,10.4,0.21211687835028825,14187.04296875,0.43902948837508454,1.3138162167599425,2.0
Falconsai/text_summarization,11.5,0.17049971813443954,20769.41015625,0.407339754583927,0.7869424977491436,3.0
pszemraj/led-large-book-summary,6.8,0.025394887560445514,23529.169921875,0.2759963768115943,0.2309568176162211,5.0
