Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,15.4,0.04882017363811778,20230.28515625,0.21958578587671448,3.27338295527496,1.0
philschmid/bart-large-cnn-samsum,13.5,0.08009465607870979,21816.841796875,0.28402699662542186,0.6048342717996638,5.0
sshleifer/distilbart-cnn-12-6,14.0,0.02304483086914267,36270.578125,0.21453935100112978,3.101932844132355,2.0
Falconsai/text_summarization,14.9,0.08654825731889541,33663.18359375,0.2667873896247241,0.7461795768884384,4.0
pszemraj/led-large-book-summary,16.1,0.06543783950312546,34070.0625,0.36402307451994687,0.7467393720864149,3.0
