Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,15.4,0.06496531908240936,14632.0419921875,0.25334846765039726,2.7826672014763183,2.0
philschmid/bart-large-cnn-samsum,13.4,0.09905110696285123,16711.51171875,0.3596660083247536,0.7180411280030798,3.0
sshleifer/distilbart-cnn-12-6,15.0,0.061940198756703674,11111.5625,0.24128764133639805,3.8607633279689035,1.0
Falconsai/text_summarization,10.8,0.0617346560786034,12985.2705078125,0.2171218586053751,0.13749092137188432,5.0
pszemraj/led-large-book-summary,10.8,0.053807391274151344,20693.587890625,0.41723507275802063,0.5498130142941892,4.0
