Model,Flesch-Kincaid Grade Level,BLEU Score,Perplexity,METEOR Score,TOPSIS Score,Rank
facebook/bart-large-cnn,9.8,0.018468413147710003,17602.529296875,0.2020754362176981,5.078930505283379,1.0
philschmid/bart-large-cnn-samsum,11.6,0.01256956650789406,16596.17578125,0.2365712395840896,0.1663039860275246,5.0
sshleifer/distilbart-cnn-12-6,12.9,0.022439302138624825,12884.857421875,0.20902778878341094,4.123430967948968,2.0
Falconsai/text_summarization,15.6,0.030715748449434838,13752.3369140625,0.2665369441801289,0.4577141001845498,4.0
pszemraj/led-large-book-summary,11.1,0.05066646439118789,23405.541015625,0.3703086368308469,0.8095774847171832,3.0
